locality_name,num_hospitals
alexandra,1
apollo bay,1
ararat,1
ascot vale,1
ashwood,1
bacchus marsh,1
bairnsdale,1
ballarat central,2
bayswater,1
beaufort,1
beechworth,1
benalla,1
bendigo,2
bentleigh,1
bentleigh east,1
berwick,6
birchip,1
blackburn south,1
boort,1
boronia,2
box hill,4
bright,1
brighton,3
brunswick,1
bundoora,4
camberwell,1
camperdown,1
canterbury,1
capel sound,1
carlton,2
casterton,1
castlemaine,1
caulfield,2
caulfield south,1
charlton,1
chelsea heights,1
cheltenham,1
clayton,7
clyde north,1
cobram,1
coburg,4
cohuna,1
colac,1
coleraine,1
collingwood,1
corryong,1
cowes,1
craigieburn,1
cranbourne,1
cremorne,1
creswick,1
dandenong,3
daylesford,1
dimboola,1
docklands,1
donald,1
doncaster,1
donvale,1
dunolly,1
east melbourne,10
echuca,1
edenhope,1
elsternwick,1
elwood,1
epping,4
essendon fields,1
essendon west,1
euroa,1
fairfield,2
fitzroy,3
footscray,8
forest hill,2
foster,1
frankston,8
geelong,5
glen iris,2
glen waverley,2
golden square,1
greensborough,2
hamilton,1
hampton,1
hampton east,1
hastings,2
hawthorn,3
hawthorn east,1
healesville,1
heathcote,1
heatherton,1
heidelberg,5
heyfield,1
heywood,1
hopetoun,1
horsham,1
inglewood,1
ivanhoe,2
jacana,1
jeparit,1
kaniva,1
keilor,1
kerang,1
kew,5
kew east,1
kilmore,1
koo wee rup,1
korumburra,1
kyabram,1
kyneton,1
lake wendouree,1
langwarrin,2
leongatha,1
lilydale,1
lorne,1
maffra,1
maldon,1
malvern,4
malvern east,1
manangatang,1
mansfield,1
maryborough,1
melbourne,4
melton west,1
mildura,3
mitcham,1
moonee ponds,1
moorabbin,2
mornington,5
morwell,1
mount beauty,1
mount eliza,1
mount waverley,2
mulgrave,2
myrtleford,1
narre warren,1
nathalia,1
neerim south,1
newcomb,1
nhill,1
noble park,3
norlane,2
north geelong,1
north melbourne,2
notting hill,1
numurkah,1
nyah west,1
officer,2
omeo,1
orbost,1
ouyen,1
parkdale,1
parkville,7
pascoe vale,1
penshurst,1
port fairy,1
portland,1
prahran,1
preston,3
rainbow,1
reservoir,1
richmond,3
ringwood,1
ringwood east,3
robinvale,1
rochester,1
rosebud,2
rupanyup,1
rushworth,1
sale,1
sandringham,2
sea lake,1
seymour,1
shepparton,3
skipton,1
soldiers hill,1
south morang,1
south yarra,1
springvale,1
st albans,3
st albans park,1
st arnaud,1
st kilda east,1
stawell,1
sunbury,2
sunshine,1
swan hill,1
sydenham,1
tallangatta,1
tatura,1
templestowe,1
templestowe lower,2
terang,1
timboon,1
traralgon,1
upper ferntree gully,1
vermont south,1
wangaratta,3
wantirna,2
warracknabeal,1
warragul,2
warrnambool,3
waurn ponds,3
wendouree,1
werribee,7
willaura,1
williamstown,1
winchelsea,1
windsor,2
wodonga,1
wonthaggi,1
wycheproof,1
yarram,1
yarrawonga,1
yea,1
